EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:31:51.800,48.24763489,16.37302399,166.3090057,9,2.49000001,0.032,51.97650909,52,-92,7984,-9,36,-102,1.46534145,-0.89397967,-4880,7,3,52080,43573,1775151111.8,0.5,0.4247646201319677,0.8495292402639354,-0.8175292402639354,False
2026-04-02 17:31:52.300,48.24763489,16.37302399,166.2089996,9,2.49000001,0.035,25.35596085,18,-80,7994,0,46,-107,1.45525765,-0.88578463,-4848,7,3,57523,43574,1775151112.3,0.5,0.0,0.0,0.035,False
2026-04-02 17:31:52.800,48.24763489,16.37302399,166.1549988,9,2.49000001,0.075,112.8444977,-10,-100,7924,-9,49,-109,1.4771173,-0.8913604,-4864,7,3,36113,43575,1775151112.8,0.5,0.0,0.0,0.075,False
2026-04-02 17:31:53.300,48.24763489,16.37302399,166.0720062,9,2.49000001,0.045,73.26566315,34,-102,7904,-15,30,-86,1.45406675,-0.94008905,-4848,7,3,23507,43576,1775151113.3,0.5,0.0,0.0,0.045,False
2026-04-02 17:31:53.800,48.24763489,16.37302399,165.9579926,9,2.49000001,0.082,5.40396976,42,-50,7930,-12,46,-107,1.47951686,-0.93493146,-4832,7,3,49740,43577,1775151113.8,0.5,0.0,0.0,0.082,False
2026-04-02 17:31:54.300,48.24763489,16.37302399,165.9179993,9,2.49000001,0.054,4.86795998,-34,-82,7910,8,32,-98,1.49285209,-0.90802032,-4864,7,3,9458,43578,1775151114.3,0.5,0.0,0.0,0.054,False
2026-04-02 17:31:54.800,48.24763489,16.37302399,165.8090057,9,2.49000001,0.078,4.86795998,6,-108,7918,-6,33,-123,1.47990346,-1.08168137,-4624,7,3,57416,43579,1775151114.8,0.5,0.0,0.0,0.078,False
2026-04-02 17:31:55.300,48.24763489,16.37302399,165.772995,9,2.49000001,0.116,3.43974996,242,-68,7916,2,50,-107,1.42685688,-1.02680457,-4832,7,3,4419,43580,1775151115.3,0.5,0.0,0.0,0.116,False
2026-04-02 17:31:55.800,48.24763489,16.37302399,165.6929932,9,2.49000001,0.043,100.3536987,2,-106,7932,-2,39,-98,1.45344281,-1.00171804,-4848,7,3,28439,43581,1775151115.8,0.5,0.0,0.0,0.043,False
2026-04-02 17:31:56.300,48.2476387,16.37302399,165.6690064,9,2.49000001,0.223,2.66662002,40,-158,7942,1,49,-98,1.47977126,-0.97320652,-4832,7,3,21439,43582,1775151116.3,0.5,0.42365267074795376,0.8473053414959075,-0.6243053414959076,False
